Individual,Season_Collected,Site_Location,Sat_Gill,DominantWavelength_Gill_nm,Whiteness_Gill,Chroma_Gill,Tint_Gill,Red_Coloration_Area,Body_Condition_Factor,GSI_Value,Sex
SRBD05,Breeding_Season,Dry_Fork_Whites_creek_system,0.517,589.6,-77.5,14.221,-46.99,2.35,0.842220552,7.570329087,F
SRBD06,Breeding_Season,Dry_Fork_Whites_creek_system,0.568,589.1,-92.7,13.766,-51.13,2.969,0.89058309,2.684387992,F
SRBD07,Breeding_Season,Dry_Fork_Whites_creek_system,1.272,594.4,-175.6,30.14,-126.48,18.237,0.779776449,6.802954819,F
SRBD08,Breeding_Season,Dry_Fork_Whites_creek_system,2.501,602.2,-257.1,60.131,-252.74,26.563,0.781399417,3.593015447,M
SRBD09,Breeding_Season,Dry_Fork_Whites_creek_system,1.888,599.7,-208.3,51.076,-191.95,23.845,0.803906706,4.975701748,F
SRBD10 ,Breeding_Season,Dry_Fork_Whites_creek_system,1.859,597.3,-229.1,48.925,-188.3,14.425,0.866891399,8.985811876,F
SRBD11,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.433,593.9,-56.4,9.699,-42.19,8.504,0.936983847,20.66242691,F
SRBD12,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.923,592,-135.8,24.398,-88.82,12.299,0.744872208,16.21211445,F
SRBD13,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,1.107,600.4,-117.5,27.411,-113.26,19.26045,0.863289182,5.818024967,F
SRBD14,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,1.341,598.4,-150.5,38.099,-136.11,22.011,0.796197588,13.53704813,F
SRBD15,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,1.037,595.3,-125.8,32.101,-103.38,5.32,0.856034985,14.07261086,F
SRBD16,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.494,583.4,-101.1,12.953,-36.14,9.542,0.6476313,3.020408163,M
SRBD17,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,1.21,593.3,-172.8,31.788,-119.05,10.331,0.837338284,3.692621557,M
SRBD18,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,1.387,595.1,-185.8,33.71,-138.85,15.288,0.851157407,2.224639652,M
SRBD19,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.887,594.6,-102.3,30.088,-87.73,13.1997,0.65886572,2.039451688,M
SRBD20,Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.775,597.2,-87.6,21.2,-78.07,2.503,0.746388889,3.039325146,M
SRBD21,Non-Breeding_Season,Dry_Fork_Whites_creek_system,0.813,597.7,-98.3,16.097,-82.24,27.89316,0.772627609,2.50049613,F
SRBD22,Non-Breeding_Season,Dry_Fork_Whites_creek_system,0.911,597.4,-113,16.032,-91.96,19.5179,0.768217085,1.888853196,M
SRBD23,Non-Breeding_Season,Dry_Fork_Whites_creek_system,0.842,594,-117.9,16.813,-82.68,22.12517,0.924723032,4.051327322,F
SRBD24,Non-Breeding_Season,Dry_Fork_Whites_creek_system,1.047,596.7,-133,20.488,-105.37,24.0018,0.767328687,1.386119509,M
SRBD25,Non-Breeding_Season,Dry_Fork_Whites_creek_system,0.535,594,-66.3,14.24,-52.27,3.478526,0.699198236,3.044117647,M
SRBD26,Non-Breeding_Season,Dry_Fork_Whites_creek_system,1.614,602.5,-166.1,32.85,-165,24.07409,0.731851852,2.872874494,
SRBD27,Non-Breeding_Season,Dry_Fork_Whites_creek_system,0.867,596.8,-105.5,20.343,-87.18,1.856425956,0.757191769,5.120248254,F
SRBD28,Non-Breeding_Season,Dry_Fork_Whites_creek_system,0.389,590.1,-58.8,8.797,-35.59,8.06,0.759988148,4.341588173,F
SRBD29,Non-Breeding_Season,Dry_Fork_Whites_creek_system,1.274,596.8,-160.1,28.925,-128.45,15.98391,0.836280436,3.174857436,
SRBD30,Non-Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.91,599.1,-104.4,18.298,-92.7,12.00197,0.695020482,1.624142086,
SRBD31,Non-Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.849,591.9,-125.3,21.647,-81.39,20.16159,0.679473877,1.40354817,
SRBD32,Non-Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.563,598.7,-62.8,12.27,-57.29,4.524019,0.757141113,3.839177751,F
SRBD33,Non-Breeding_Season,Rotary_Park_Wall_Branch_creek_system,1.002,597.5,-123,19.721,-101.2,7.151921,0.661593081,3.27480874,F
SRBD34,Non-Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.157,595,-18.2,2.945,-15.45,4.888112,0.687824074,3.823113684,F
SRBD35,Non-Breeding_Season,Rotary_Park_Wall_Branch_creek_system,0.154,584.2,-23.3,3.863,-11.39,4.850227,0.66087876,2.305263158,F
