Season_Collected,Whiteness_Gill,Chroma_Gill,Sat_Gill,Tint_Gill,Red_Coloration_Area,,Color Parameter,Breeding Season Color Averages,Non-Breeding Season Color Averages
1,-77.5,14.221,0.517,-46.99,2.35,,Whiteness,-142.24375,-98.4
1,-92.7,13.766,0.568,-51.13,2.969,,Chroma,29.981625,16.8886
1,-175.6,30.14,1.272,-126.48,18.237,,Saturation,1.1374375,0.795133333
1,-257.1,60.131,2.501,-252.74,26.563,,Tint,-112.574375,-79.344
1,-208.3,51.076,1.888,-191.95,23.845,,Red Coloration Area,12.91544688,13.37125473
1,-229.1,48.925,1.859,-188.3,14.425,,,,
1,-56.4,9.699,0.433,-42.19,8.504,,,,
1,-135.8,24.398,0.923,-88.82,12.299,,,,
1,-117.5,27.411,1.107,-113.26,19.26045,,,,
1,-150.5,38.099,1.341,-136.11,22.011,,,,
1,-125.8,32.101,1.037,-103.38,5.32,,,,
1,-101.1,12.953,0.494,-36.14,9.542,,,,
1,-172.8,31.788,1.21,-119.05,10.331,,,,
1,-185.8,33.71,1.387,-138.85,15.288,,,,
1,-102.3,30.088,0.887,-87.73,13.1997,,,,
1,-87.6,21.2,0.775,-78.07,2.503,,,,
0,-98.3,16.097,0.813,-82.24,27.89316,,,,
0,-113,16.032,0.911,-91.96,19.5179,,,,
0,-117.9,16.813,0.842,-82.68,22.12517,,,,
0,-133,20.488,1.047,-105.37,24.0018,,,,
0,-66.3,14.24,0.535,-52.27,3.478526,,,,
0,-166.1,32.85,1.614,-165,24.07409,,,,
0,-105.5,20.343,0.867,-87.18,1.856425956,,,,
0,-58.8,8.797,0.389,-35.59,8.06,,,,
0,-160.1,28.925,1.274,-128.45,15.98391,,,,
0,-104.4,18.298,0.91,-92.7,12.00197,,,,
0,-125.3,21.647,0.849,-81.39,20.16159,,,,
0,-62.8,12.27,0.563,-57.29,4.524019,,,,
0,-123,19.721,1.002,-101.2,7.151921,,,,
0,-18.2,2.945,0.157,-15.45,4.888112,,,,
0,-23.3,3.863,0.154,-11.39,4.850227,,,,
